Key.ctrl_l 	 at 11:36:35
Key.ctrl_l 	 at 11:36:35
Key.ctrl_l 	 at 11:36:35
Key.ctrl_l 	 at 11:36:35
Key.ctrl_l 	 at 11:36:35
Key.ctrl_l 	 at 11:36:56
'\x03' 	 at 11:36:57
Key.ctrl_l 	 at 11:37:03
'\x16' 	 at 11:37:03
Key.ctrl_l 	 at 11:37:05
'\x16' 	 at 11:37:05
Key.ctrl_l 	 at 11:37:08
Key.ctrl_l 	 at 11:37:09
Key.ctrl_l 	 at 11:37:09
Key.ctrl_l 	 at 11:37:09
Key.ctrl_l 	 at 11:37:09
Key.ctrl_l 	 at 11:37:09
Key.ctrl_l 	 at 11:37:09
Key.ctrl_l 	 at 11:37:09
Key.ctrl_l 	 at 11:37:09
Key.ctrl_l 	 at 11:37:09
Key.ctrl_l 	 at 11:37:09
Key.ctrl_l 	 at 11:37:09
Key.ctrl_l 	 at 11:37:09
'\x16' 	 at 11:37:09
Key.ctrl_l 	 at 11:37:11
'\x16' 	 at 11:37:11
Key.ctrl_l 	 at 11:37:15
'\x16' 	 at 11:37:15
Key.ctrl_l 	 at 11:37:17
'\x16' 	 at 11:37:17
Key.ctrl_l 	 at 11:37:25
'\x16' 	 at 11:37:25
'8' 	 at 11:37:30
'9' 	 at 11:37:31
Key.backspace 	 at 11:37:31
Key.backspace 	 at 11:37:32
Key.shift 	 at 11:37:32
Key.alt_l 	 at 11:37:32
Key.shift 	 at 11:37:34
'*' 	 at 11:37:35
Key.backspace 	 at 11:37:36
Key.ctrl_l 	 at 11:37:36
Key.alt_gr 	 at 11:37:36
<56> 	 at 11:37:37
Key.right 	 at 11:37:37
Key.right 	 at 11:37:38
Key.right 	 at 11:37:38
Key.ctrl_l 	 at 11:37:39
Key.alt_gr 	 at 11:37:39
<57> 	 at 11:37:39
Key.ctrl_l 	 at 11:37:42
'\x13' 	 at 11:37:42
Key.left 	 at 11:38:19
Key.backspace 	 at 11:38:20
Key.backspace 	 at 11:38:20
Key.backspace 	 at 11:38:20
Key.backspace 	 at 11:38:20
Key.backspace 	 at 11:38:20
Key.backspace 	 at 11:38:20
Key.backspace 	 at 11:38:21
Key.backspace 	 at 11:38:21
Key.ctrl_l 	 at 11:38:32
'\x03' 	 at 11:38:32
Key.ctrl_l 	 at 11:38:34
Key.ctrl_l 	 at 11:38:35
Key.ctrl_l 	 at 11:38:35
Key.ctrl_l 	 at 11:38:35
'\x16' 	 at 11:38:35
Key.backspace 	 at 11:38:37
Key.backspace 	 at 11:38:37
Key.backspace 	 at 11:38:38
Key.backspace 	 at 11:38:38
Key.backspace 	 at 11:38:38
Key.backspace 	 at 11:38:38
Key.backspace 	 at 11:38:38
Key.backspace 	 at 11:38:38
'k' 	 at 11:38:39
'e' 	 at 11:38:39
'y' 	 at 11:38:39
Key.backspace 	 at 11:38:41
Key.backspace 	 at 11:38:41
Key.backspace 	 at 11:38:41
Key.backspace 	 at 11:38:41
Key.backspace 	 at 11:38:42
Key.backspace 	 at 11:38:42
Key.backspace 	 at 11:38:42
Key.backspace 	 at 11:38:42
'k' 	 at 11:38:43
'e' 	 at 11:38:43
'y' 	 at 11:38:43
Key.ctrl_l 	 at 11:38:48
'\x03' 	 at 11:38:48
Key.ctrl_l 	 at 11:38:50
'\x16' 	 at 11:38:50
Key.ctrl_l 	 at 11:38:55
Key.ctrl_l 	 at 11:38:56
Key.ctrl_l 	 at 11:38:56
Key.ctrl_l 	 at 11:38:56
Key.ctrl_l 	 at 11:38:56
Key.ctrl_l 	 at 11:38:56
Key.ctrl_l 	 at 11:38:56
Key.ctrl_l 	 at 11:38:56
Key.ctrl_l 	 at 11:38:56
Key.ctrl_l 	 at 11:38:56
Key.ctrl_l 	 at 11:38:56
Key.ctrl_l 	 at 11:39:01
'\x16' 	 at 11:39:02
Key.backspace 	 at 11:39:04
Key.backspace 	 at 11:39:04
Key.backspace 	 at 11:39:05
Key.backspace 	 at 11:39:05
Key.backspace 	 at 11:39:05
Key.ctrl_l 	 at 11:39:07
'\x13' 	 at 11:39:07
Key.ctrl_l 	 at 11:39:11
'\x03' 	 at 11:39:11
Key.ctrl_l 	 at 11:39:13
'\x16' 	 at 11:39:13
Key.ctrl_l 	 at 11:39:19
'\x13' 	 at 11:39:19
Key.esc 	 at 11:39:23
'd' 	 at 10:38:15
'f' 	 at 10:38:15
'g' 	 at 10:38:15
'd' 	 at 10:38:16
'v' 	 at 10:38:16
'd' 	 at 10:38:16
'f' 	 at 10:38:16
Key.ctrl_l 	 at 10:38:20
